Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Chevrolet Cruze 1.8 Ltz At 4 p,Buenos Aires Interior,1.8 Ltz At 4 p,,Chevrolet,Cruze,2011,Nafta,4.0,Automática,1.8,Sedán,125000.0,Hidráulica,Delantera,5.0,141.0,7666.67
Chevrolet Cruze 2.0 Vcdi Sedan Ltz At 150 Cv,Ubicación no encontrada,2.0 Vcdi Sedan Ltz At 150 Cv,Blanco,Chevrolet,Cruze,2012,Diésel,4.0,Automática,2.0,Sedán,145000.0,Hidráulica,Delantera,5.0,150.0,9500.0
Chevrolet Cruze 1.8 Lt Mt 5 p,Ubicación no encontrada,1.8 Lt Mt 5 p,Rojo,Chevrolet,Cruze,2017,Nafta,5.0,Manual,1.8,Hatchback,80000.0,Hidráulica,Delantera,5.0,141.0,14000.0
Chevrolet Cruze 1.4 Lt At Sedan,Bs.As. G.B.A. Oeste,1.4 Lt At Sedan,Azul,Chevrolet,Cruze,2022,Nafta,4.0,Automática,1.4,Sedán,36000.0,Eléctrica,Delantera,5.0,153.0,16500.0
Chevrolet Cruze 1.8 Ltz At 5 p,Bs.As. G.B.A. Norte,1.8 Ltz At 5 p,,Chevrolet,Cruze,2012,Nafta,5.0,Automática,1.8,Hatchback,114000.0,Hidráulica,Delantera,5.0,141.0,9500.0
Chevrolet Cruze 1.4 Lt Mt Sedan,Ubicación no encontrada,1.4 Lt Mt Sedan,Plateado,Chevrolet,Cruze,2018,Nafta,4.0,Manual,1.4,Sedán,117000.0,Eléctrica,Delantera,5.0,153.0,11866.67
Chevrolet Cruze 1.4 Premier Sedan,Bs.As. G.B.A. Norte,1.4 Premier Sedan,,Chevrolet,Cruze,2023,Nafta,4.0,Manual,1.4,Sedán,19000.0,Eléctrica,Delantera,5.0,153.0,22500.0
Chevrolet Cruze 2.0 Vcdi Sedan Lt At 163cv,Ubicación no encontrada,2.0 Vcdi Sedan Lt At 163cv,Gris,Chevrolet,Cruze,2013,Diésel,4.0,Automática,2.0,Sedán,98000.0,Hidráulica,Delantera,5.0,163.0,8666.67
Chevrolet Cruze 1.4 Ltz Mt,Ubicación no encontrada,1.4 Ltz Mt,Gris,Chevrolet,Cruze,2016,Nafta,4.0,Manual,1.8,Sedán,100000.0,Hidráulica,Delantera,5.0,141.0,12400.0
Chevrolet Cruze 1.4 Lt At 5p,Capital Federal,1.4 Lt At 5p,Plateado,Chevrolet,Cruze,2020,Nafta,5.0,Automática,1.4,Hatchback,30000.0,Asistida,Delantera,5.0,141.0,18000.0
Chevrolet Cruze 1.4 Premier Sedan,Ubicación no encontrada,1.4 Premier Sedan,Blanco,Chevrolet,Cruze,2022,Nafta,4.0,Manual,1.4,Sedán,76000.0,Eléctrica,Delantera,5.0,153.0,22000.0
Chevrolet Cruze 1.4 Lt At Sedan,Capital Federal,1.4 Lt At Sedan,,Chevrolet,Cruze,2023,Nafta,4.0,Automática,1.4,Sedán,6000.0,Eléctrica,Delantera,5.0,153.0,22000.0
Chevrolet Cruze 1.4 Ltz At Sedan,Bs.As. G.B.A. Norte,1.4 Ltz At Sedan,Blanco,Chevrolet,Cruze,2019,Nafta,4.0,Automática,1.4,Sedán,120000.0,Eléctrica,Delantera,5.0,153.0,16000.0
Chevrolet Cruze 1.8 Ltz Mt 141cv,Buenos Aires Interior,1.8 Ltz Mt 141cv,,Chevrolet,Cruze,2015,Nafta,4.0,Manual,1.8,Sedán,109000.0,Hidráulica,Delantera,5.0,141.0,10000.0
Chevrolet Cruze 1.4 Lt At Sedan,Bs.As. G.B.A. Sur,1.4 Lt At Sedan,,Chevrolet,Cruze,2022,Nafta,4.0,Automática,1.4,Sedán,52000.0,Eléctrica,Delantera,5.0,153.0,15333.33
Chevrolet Cruze 1.4 Lt Mt Sedan,Ubicación no encontrada,1.4 Lt Mt Sedan,Plateado,Chevrolet,Cruze,2018,Nafta,4.0,Manual,1.4,Sedán,40000.0,Eléctrica,Delantera,5.0,153.0,14000.0
Chevrolet Cruze 1.4 Ltz At Sedan,Ubicación no encontrada,1.4 Ltz At Sedan,Blanco,Chevrolet,Cruze,2022,Nafta,4.0,Automática,1.4,Sedán,45000.0,Eléctrica,Delantera,5.0,153.0,19332.67
Chevrolet Cruze 4p 1.4 Turbo Ltz Mt,Ubicación no encontrada,4P 1.4 TURBO LTZ MT,Gris,Chevrolet,Cruze,2017,Nafta,4.0,Automática,1.8,Sedán,99830.0,Hidráulica,Delantera,5.0,141.0,12533.33
Chevrolet Cruze 1.4 Ltz At Sedan,Ubicación no encontrada,1.4 Ltz At Sedan,Negro,Chevrolet,Cruze,2018,Nafta,4.0,Automática,1.4,Sedán,95000.0,Eléctrica,Delantera,5.0,153.0,16500.0
Chevrolet Cruze 1.8 Ltz Mt,Capital Federal,1.8 Ltz Mt,,Chevrolet,Cruze,2014,Nafta,5.0,Manual,1.8,Hatchback,93000.0,Hidráulica,Delantera,5.0,141.0,11900.0
Chevrolet Cruze 1.4 Ltz At Sedan,Ubicación no encontrada,1.4 Ltz At Sedan,Gris,Chevrolet,Cruze,2018,Nafta,4.0,Automática,1.4,Sedán,73000.0,Eléctrica,Delantera,5.0,153.0,16900.0
Chevrolet Cruze 1.4 Lt At Sedan,Ubicación no encontrada,1.4 Lt At Sedan,,Chevrolet,Cruze,2023,Nafta,4.0,Automática,1.4,Sedán,111111.0,Eléctrica,Delantera,5.0,153.0,22000.0
Chevrolet Cruze 1.4 Ltz At Sedan,Santa Fe,1.4 Ltz At Sedan,Blanco,Chevrolet,Cruze,2019,Nafta,4.0,Automática,1.4,Sedán,72500.0,Eléctrica,Delantera,5.0,153.0,17000.0
Chevrolet Cruze 1.8 Ltz At,Ubicación no encontrada,1.8 Ltz At,,Chevrolet,Cruze,2017,Nafta,5.0,Automática,1.8,Hatchback,102000.0,Hidráulica,Delantera,5.0,141.0,14000.0
Chevrolet Cruze 1.4 Ltz At Sedan,Ubicación no encontrada,1.4 Ltz At Sedan,Gris,Chevrolet,Cruze,2018,Nafta,4.0,Automática,1.4,Sedán,86000.0,Eléctrica,Delantera,5.0,153.0,15333.33
Chevrolet Cruze LT MT,Ubicación no encontrada,LT MT,Blanco,Chevrolet,Cruze,2017,Nafta,5.0,Manual,1.8,Sedán,81874.0,Hidráulica,Delantera,5.0,141.0,13666.67
Chevrolet Cruze 1.8 Lt Mt 4 p,Ubicación no encontrada,1.8 Lt Mt 4 p,Plateado,Chevrolet,Cruze,2012,Nafta,4.0,Manual,1.8,Sedán,110000.0,Hidráulica,Delantera,5.0,141.0,8500.0
Chevrolet Cruze 2.0 Vcdi Sedan Lt At 163cv,Ubicación no encontrada,2.0 Vcdi Sedan Lt At 163cv,,Chevrolet,Cruze,2013,Diésel,4.0,Automática,2.0,Sedán,98000.0,Hidráulica,Delantera,5.0,163.0,9800.0
Chevrolet Cruze 1.8 Ltz At 141cv,Bs.As. G.B.A. Oeste,1.8 Ltz At 141cv,,Chevrolet,Cruze,2015,Nafta,4.0,Automática,1.8,Sedán,97000.0,Hidráulica,Delantera,5.0,141.0,12500.0
Chevrolet Cruze Lt,Entre Ríos,LT,,Chevrolet,Cruze,2020,Nafta,4.0,Automática,1.4,Sedán,32500.0,Asistida,Delantera,5.0,141.0,18000.0
Chevrolet Cruze 1.8 Ltz At 5 p,Capital Federal,1.8 Ltz At 5 p,Gris,Chevrolet,Cruze,2013,Nafta,5.0,Automática,1.8,Hatchback,114000.0,Hidráulica,Delantera,5.0,141.0,13500.0
