Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Ford Focus III 1.6 S,Capital Federal,1.6 S,Gris,Ford,Focus III,2016,Nafta,5.0,Manual,1.6,Hatchback,83000.0,Eléctrica,Delantera,5.0,125.0,12000.0
Ford Focus III 1.6 S,Entre Ríos,1.6 S,,Ford,Focus III,2018,Nafta,5.0,Manual,1.6,Hatchback,50000.0,Eléctrica,Delantera,5.0,125.0,10666.67
Ford Focus III 1.6 S,Ubicación no encontrada,1.6 S,Blanco,Ford,Focus III,2014,Nafta,5.0,Manual,1.6,Hatchback,129000.0,Asistida,Delantera,5.0,125.0,11000.0
Ford Focus III 2.0 Sedan Se,Entre Ríos,2.0 Sedan Se,,Ford,Focus III,2016,Nafta,4.0,Manual,2.0,Sedán,72000.0,Eléctrica,Delantera,5.0,170.0,14500.0
Ford Focus III 2.0 Se Plus Mt,Bs.As. G.B.A. Norte,2.0 Se Plus Mt,Azul,Ford,Focus III,2014,Nafta,5.0,Manual,2.0,Hatchback,133000.0,Asistida,Delantera,5.0,170.0,11000.0
Ford Focus III 2.0 Se Plus Mt,Buenos Aires Interior,2.0 Se Plus Mt,Blanco,Ford,Focus III,2015,Nafta,5.0,Manual,2.0,Hatchback,120000.0,Asistida,Delantera,5.0,170.0,12500.0
Ford Focus III 2.0 Se Plus At6,Ubicación no encontrada,2.0 Se Plus At6,Blanco,Ford,Focus III,2016,Nafta,4.0,Automática,2.0,Hatchback,93000.0,Eléctrica,Delantera,5.0,170.0,14500.0
Ford Focus III 2.0 Se Plus At6,Ubicación no encontrada,2.0 Se Plus At6,Azul,Ford,Focus III,2014,Nafta,5.0,Automática,2.0,Hatchback,68000.0,Asistida,Delantera,5.0,170.0,11500.0
Ford Focus III 2.0 Sedan Se Plus At6,Ubicación no encontrada,2.0 Sedan Se Plus At6,,Ford,Focus III,2013,Nafta,4.0,Automática,2.0,Sedán,130000.0,Asistida,Delantera,5.0,170.0,8660.0
Ford Focus III SE PLUS MANUAL 2.0,Bs.As. G.B.A. Sur,SE PLUS MANUAL 2.0,Plateado,Ford,Focus III,2016,Nafta,4.0,Manual,2.0,Hatchback,114000.0,Hidráulica,Delantera,5.0,170.0,11600.0
Ford Focus III 2.0 Se,Bs.As. G.B.A. Norte,2.0 Se,Negro,Ford,Focus III,2016,Nafta,5.0,Manual,2.0,Hatchback,118000.0,Eléctrica,Delantera,5.0,170.0,10999.0
Ford Focus III 1.6 S,Capital Federal,1.6 S,,Ford,Focus III,2018,Nafta,5.0,Manual,1.6,Hatchback,79000.0,Eléctrica,Delantera,5.0,125.0,13700.0
Ford Focus III 2.0 Se Plus Mt,Córdoba,2.0 Se Plus Mt,Blanco,Ford,Focus III,2017,Nafta,5.0,Manual,2.0,Hatchback,85000.0,Eléctrica,Delantera,5.0,170.0,14500.0
Ford Focus III 1.6 Sedan S,Córdoba,1.6 Sedan S,Blanco,Ford,Focus III,2017,Nafta,4.0,Manual,1.6,Sedán,75000.0,Eléctrica,Delantera,5.0,125.0,9866.67
Ford Focus III 2.0 Sedan Titanium At6,Ubicación no encontrada,2.0 Sedan Titanium At6,Azul,Ford,Focus III,2014,Nafta,4.0,Automática,2.0,Sedán,116000.0,Asistida,Delantera,5.0,170.0,13000.0
Ford Focus III 2.0 Titanium Mt,Santiago del Estero,2.0 Titanium Mt,,Ford,Focus III,2017,Nafta,5.0,Manual,2.0,Hatchback,110000.0,Eléctrica,Delantera,5.0,170.0,12000.0
Ford Focus III 2.0 Titanium At6,Córdoba,2.0 Titanium At6,,Ford,Focus III,2016,Nafta,5.0,Automática,2.0,Hatchback,86000.0,Eléctrica,Delantera,5.0,170.0,14500.0
Ford Focus III 2.0 Sedan Se,Bs.As. G.B.A. Sur,2.0 Sedan Se,,Ford,Focus III,2016,Nafta,4.0,Manual,2.0,Sedán,158000.0,Eléctrica,Delantera,5.0,170.0,11300.0
Ford Focus III 2.0 Se Plus At6,Bs.As. G.B.A. Norte,2.0 Se Plus At6,Blanco,Ford,Focus III,2015,Nafta,5.0,Automática,2.0,Hatchback,89000.0,Asistida,Delantera,5.0,170.0,11900.0
Ford Focus III 1.6 Sedan S,Bs.As. G.B.A. Sur,1.6 Sedan S,,Ford,Focus III,2017,Nafta,4.0,Manual,1.6,Sedán,96000.0,Eléctrica,Delantera,5.0,125.0,13000.0
Ford Focus III 1.6 Sedan S,Ubicación no encontrada,1.6 Sedan S,Blanco,Ford,Focus III,2019,Nafta/GNC,4.0,Manual,1.6,Sedán,58000.0,Eléctrica,Delantera,5.0,125.0,16000.0
Ford Focus III 1.6 Sedan S,Ubicación no encontrada,1.6 Sedan S,,Ford,Focus III,2017,Nafta,4.0,Manual,1.6,Sedán,41000.0,Eléctrica,Delantera,5.0,125.0,14000.0
Ford Focus III 2.0 Sedan Se Plus At6,Ubicación no encontrada,2.0 Sedan Se Plus At6,Plateado,Ford,Focus III,2019,Nafta,4.0,Automática,2.0,Sedán,40000.0,Eléctrica,Delantera,5.0,170.0,14000.0
