Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline At,Ubicación no encontrada,2.0 Cd Tdi 180cv Comfortline At,Gris,Volkswagen,Amarok,2023,Diésel,4.0,Automática,2.0,Pick-Up,5450.0,Hidráulica,4x2,5.0,180.0,29500.0
Volkswagen Amarok 3.0 V6 Extreme,Bs.As. G.B.A. Sur,3.0 V6 Extreme,Blanco,Volkswagen,Amarok,2023,Diésel,4.0,Automática,3.0,Pick-Up,1010.0,Hidráulica,4x4,5.0,224.0,44200.0
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Trendline B33,Ubicación no encontrada,2.0 Cd Tdi 180cv 4x2 Trendline B33,Negro,Volkswagen,Amarok,2014,Diésel,4.0,Manual,2.0,Pick-Up,130000.0,Hidráulica,4x2,5.0,180.0,14333.33
Volkswagen Amarok 2.0 Cd Tdi 4x2 Trendline Ll17 1t8,Ubicación no encontrada,2.0 Cd Tdi 4x2 Trendline Ll17 1t8,Gris,Volkswagen,Amarok,2011,Diésel,4.0,Manual,2.0,Pick-Up,181000.0,Hidráulica,4x2,5.0,163.0,11466.67
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Trendline B34,Ubicación no encontrada,2.0 Cd Tdi 180cv 4x4 Trendline B34,Blanco,Volkswagen,Amarok,2015,Diésel,4.0,Manual,2.0,Pick-Up,118000.0,Hidráulica,4x4,5.0,180.0,14133.33
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack,Ubicación no encontrada,2.0 Cd Tdi 180cv 4x2 Highline Pack,Gris,Volkswagen,Amarok,2016,Diésel,4.0,Manual,2.0,Pick-Up,155000.0,Hidráulica,4x2,5.0,180.0,19800.0
Volkswagen Amarok 3.0 V6 Extreme,Bs.As. G.B.A. Norte,,,Volkswagen,Amarok,2023,Diésel,4.0,Automática,3.0,Pick-Up,20000.0,Hidráulica,4x4,5.0,224.0,40999.0
Volkswagen Amarok 3.0 V6 Extreme,Capital Federal,3.0 V6 Extreme,Gris,Volkswagen,Amarok,2021,Diésel,4.0,Automática,3.0,Pick-Up,42000.0,Hidráulica,4x4,5.0,224.0,35500.0
Volkswagen Amarok 3.0 V6 Cd Highline,Ubicación no encontrada,3.0 V6 Cd Highline,Gris,Volkswagen,Amarok,2022,Diésel,4.0,Automática,3.0,Pick-Up,24000.0,Hidráulica,4x4,5.0,224.0,38600.0
Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline 4x4,Bs.As. G.B.A. Oeste,,,Volkswagen,Amarok,2020,Diésel,4.0,Manual,2.0,Pick-Up,78000.0,Hidráulica,4x2,5.0,180.0,26000.0
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack At,Bs.As. G.B.A. Norte,2.0 Cd Tdi 180cv 4x4 Highline Pack At,Plateado,Volkswagen,Amarok,2018,Diésel,4.0,Automática,2.0,Pick-Up,82000.0,Hidráulica,4x4,5.0,180.0,29000.0
Volkswagen Amarok 3.0 V6 Cd Highline,Capital Federal,3.0 V6 Cd Highline,Gris,Volkswagen,Amarok,2021,Diésel,4.0,Automática,3.0,Pick-Up,48000.0,Hidráulica,4x4,5.0,224.0,36700.0
Volkswagen Amarok 3.0 V6 Cd Comfortline,Bs.As. G.B.A. Oeste,,,Volkswagen,Amarok,2023,Diésel,4.0,Automática,3.0,Pick-Up,29000.0,Hidráulica,4x4,5.0,224.0,35800.0
Volkswagen Amarok 3.0 V6 Extreme,Ubicación no encontrada,,,Volkswagen,Amarok,2019,Diésel,4.0,Automática,3.0,Pick-Up,120000.0,Hidráulica,4x4,5.0,224.0,32000.0
Volkswagen Amarok 3.0 V6 Extreme 258Cv,Capital Federal,3.0 V6 Extreme 258Cv,Blanco,Volkswagen,Amarok,2020,Diésel,4.0,Automática,3.0,Pick-Up,90000.0,Hidráulica,4x4,5.0,258.0,34500.0
Volkswagen Amarok HIGHLINE PACK - CUERO,Ubicación no encontrada,,Gris,Volkswagen,Amarok,2011,Diésel,4.0,Manual,180.0,Pick-Up,170000.0,Hidráulica,4x2Capacidad de la batería90 Ah,5.0,163.0,11133.33
Volkswagen Amarok 3.0 V6 Cd Highline,Bs.As. G.B.A. Norte,,,Volkswagen,Amarok,2023,Diésel,4.0,Automática,3.0,Pick-Up,34000.0,Hidráulica,4x4,5.0,224.0,39500.0
Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline At,Bs.As. G.B.A. Oeste,,,Volkswagen,Amarok,2022,Diésel,4.0,Automática,2.0,Pick-Up,34200.0,Hidráulica,4x2,5.0,180.0,29500.0
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Trendline B34,Capital Federal,,,Volkswagen,Amarok,2013,Diésel,4.0,Manual,2.0,Pick-Up,80000.0,Hidráulica,4x4,5.0,180.0,19500.0
Volkswagen Amarok 2.0 Cd Tdi 4x4 Highline Pack C34,Bs.As. G.B.A. Norte,2.0 Cd Tdi 4x4 Highline Pack C34,Gris,Volkswagen,Amarok,2013,Diésel,4.0,Manual,2.0,Pick-Up,170000.0,Hidráulica,4x4,5.0,180.0,19800.0
Volkswagen Amarok 2.0 Cd Tdi 4x2 Highline Pack At C34,Ubicación no encontrada,2.0 Cd Tdi 4x2 Highline Pack At C34,Gris,Volkswagen,Amarok,2012,Diésel,4.0,Automática,2.0,Pick-Up,148000.0,Hidráulica,4x2,5.0,180.0,15666.0
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Trendline B34,Ubicación no encontrada,2.0 Cd Tdi 180cv 4x4 Trendline B34,Blanco,Volkswagen,Amarok,2015,Diésel,4.0,Manual,2.0,Pick-Up,204000.0,Hidráulica,4x4,5.0,180.0,12533.33
Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,Ubicación no encontrada,,,Volkswagen,Amarok,2020,Diésel,4.0,Manual,2.0,Pick-Up,80000.0,Hidráulica,4x2,5.0,180.0,19666.67
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Trendline B33,Ubicación no encontrada,,,Volkswagen,Amarok,2015,Diésel,4.0,Manual,2.0,Pick-Up,140000.0,Hidráulica,4x2,5.0,180.0,14600.0
