Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Único dueño,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Mercedes-Benz Clase SL 5.0 Sl500 Roadster,Ubicación no encontrada,,Clase SL,2002,5.0 Sl500 Roadster,,Nafta,2,Automática,5.0,Coupé,104000,,,,Hidráulica,Trasera,2.0,306.0,62000.0
Porsche 911 3.8 Carrera 4 S 400cv (991),Capital Federal,Porsche,911,2015,,Blanco,Nafta,2,Manual,3.8,Coupé,21400,,,,Eléctrica,Integral,2.0,400.0,245000.0
Mercedes Benz Clase E Coupé E53 Amg 4matic 435cv,Bs.As. G.B.A. Norte,,Clase E,2023,Amg E 53 Coupé 4matic 435 Cv,Blanco,Nafta,2,,,Coupé,6000,,,,Eléctrica,,,,179000.0
Toyota Hiace 2.8 Tdi Wagon 6at 10a,Ubicación no encontrada,Toyota,Hiace,2024,2.8 Tdi Wagon 6at 10a,Gris,Diésel,4,Automática,2.8,,1000,,,,,Delantera,10.0,177.0,62900.0
Porsche Cayenne Turbo V8 Bi Turbo 500 Hp,Bs.As. G.B.A. Norte,Porsche,Cayenne Turbo,2013,V8 Bi Turbo 500 HP,,Nafta,4,,,,150000,,,,,,,,69000.0
Mercedes-Benz Clase C 6.3 C63 Amg Sedan 457cv,Tucumán,,Clase C,2013,6.3 C63 Amg Sedan 457cv,,Nafta,4,Automática,6.3,Sedán,36000,,,,Asistida,Delantera,4.0,457.0,72000.0
BMW X2 2.0 M35i Mpa,Ubicación no encontrada,BMW,X2,2023,2.0 M35i Mpa,,Nafta,5,Automática,2.0,SUV,5200,,,,Asistida,4x4,5.0,192.0,95000.0
Jeep Grand Cherokee 6.4 Srt Atx 465hp At,Bs.As. G.B.A. Norte,Jeep,Grand Cherokee,2017,6.4 Srt Atx 465hp At,Negro,Nafta,5,Automática,6.4,SUV,125000,,,,Hidráulica,4x4,5.0,465.0,65000.0
Audi A6 3.0 55 Tfsi Stronic Quattro 340cv,Ubicación no encontrada,Audi,A6,2021,3.0 55 Tfsi Stronic Quattro 340cv,Negro,Nafta,5,Automática,3.0,Sedán,19200,,,,Eléctrica,Integral,4.0,340.0,84900.0
Mercedes-Benz Clase GLE GLE 400 AMG 330 HP,Ubicación no encontrada,,Clase GLE,2017,GLE 400 AMG 330 HP,Gris,Nafta,5,Automática,3.0,SUV,51000,,,,Eléctrica,Integral,5.0,333.0,64900.0
BMW Serie 3 2.0 320i Sedan Sportline,Santa Fe,BMW,Serie 3,2022,2.0 320i Sedan Sportline,Gris,Nafta,4,Manual,2.0,Sedán,36000,,,,Asistida,Trasera,5.0,184.0,68900.0
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Ubicación no encontrada,Toyota,Hilux,2023,2.8 Cd Srx 177cv 4x4 At,Blanco,Diésel,4,Automática,2.8,Pick-Up,12000,,,,Hidráulica,4x4,5.0,177.0,37932.67
Ford F-150 5.0l V8 Lariat Luxury,Buenos Aires Interior,Ford,,2021,5.0l V8 Lariat Luxury,Azul,Nafta,4,Automática,5.0,Pick-Up,79000,,,,Eléctrica,4x4,5.0,400.0,85000.0
Dodge Challenger R/t Rt,Ubicación no encontrada,Dodge,,2015,,Rojo,Nafta,3,,,Coupé,21000,,,,,,,,80000.0
Mercedes-Benz Clase E 3.0 E450 4matic Sedan 367cv,Ubicación no encontrada,,Clase E,2020,3.0 E450 4matic Sedan 367cv,Blanco,Nafta,4,Automática,3.0,Sedán,20915,,,,Asistida,Trasera,4.0,367.0,120000.0
Mercedes-benz Clase A A35 Amg,Capital Federal,,Clase A,2021,a35 amg,,Nafta,5,,,,15000,,,,,,,,90000.0
BMW X2 2.0 Sdrive 20i Msport X,Ubicación no encontrada,BMW,X2,2023,2.0 Sdrive 20i Msport X,Negro,Nafta,5,Automática,2.0,SUV,4000,,,,Asistida,4x4,5.0,192.0,73900.0
Ford F-150 Raptor 3.5l V6 Ecoboost 4x4 2023,Ubicación no encontrada,Ford,,2023,3.5l V6 Ecoboost 4x4,Negro,Nafta,4,Automática,3.5,Pick-Up,9400,,,,,,,,130000.0
BMW Serie 3 3.0 330i Sedan Sport Line 252cv,Ubicación no encontrada,BMW,Serie 3,2020,3.0 330i Sedan Sport Line 252cv,Gris,Nafta,4,Automática,3.0,Sedán,51414,,,,assisted,Trasera,5.0,184.0,62000.0
BMW Serie 1 2.0 Xdrive M135 Performance,Ubicación no encontrada,BMW,Serie 1,2022,2.0 Xdrive M135 Performance,Azul,Nafta,5,Automática,2.0,Hatchback,19000,,,,,,,306.0,76000.0
BMW Serie 2 2.0 M235I Xdrive Gran Coupe,Ubicación no encontrada,BMW,Serie 2,2023,2.0 M235I Xdrive Gran Coupe,Azul,Nafta,4,Automática,2.0,,1200,,,,Asistida,Integral,4.0,306.0,90000.0
Toyota Hilux Gr-sport 2.8 4x4 At,Ubicación no encontrada,Toyota,Hilux,2022,Gr-sport 2.8 4x4 At,,Diésel,5,Automática,2.8,Pick-Up,35000,,,,Hidráulica,4x4,5.0,177.0,37466.67
Mercedes-Benz Clase GLC 2.0 Glc300 4matic Coupe At,Ubicación no encontrada,,Clase GLC,2020,2.0 Glc300 4matic Coupe At,,Nafta,5,Automática,2.0,Coupé,67000,,,,Asistida,4x4,5.0,258.0,100000.0
Ford Ranger Raptor V6,Ubicación no encontrada,Ford,Ranger Raptor,2023,V6,,Diésel,5,,,,11000,,,,,,,,87000.0
Ford Ranger Raptor V6,Ubicación no encontrada,Ford,Ranger Raptor,2023,3.0L V6 BIT GTDI 4X4 10AT,Gris,Nafta,5,Automática,3.0,Pick-Up,5000,,,,,,,,85000.0
Fiat Strada 1.3 Trekking Multijet Cd,Ubicación no encontrada,Fiat,Strada,2016,1.3 Trekking Multijet Cd,Gris,Diésel,3,Manual,1.3,Pick-Up,150000,,,,Hidráulica,Delantera,5.0,95.0,66666.67
Audi Q7 3.0 Tfsi 333cv Tiptronic Quattro,Santa Fe,Audi,Q7,2020,3.0 Tfsi 333cv Tiptronic Quattro,,Nafta,5,Automática,3.0,SUV,57000,,,,Asistida,Integral,5.0,333.0,90000.0
Renault Megane E Tech E Tech,Ubicación no encontrada,Renault,ETECH,2024,MEGANE,Blanco,Eléctrico,5,Automática secuencial,,Crossover,111111,,,,,,,,47666.67
Mercedes-Benz Clase C 2.0 C300 Coupe 258cv Sedan,Bs.As. G.B.A. Norte,,Clase C,2020,2.0 C300 Coupe 258cv Sedan,Gris,Nafta,4,Automática,2.0,Sedán,19000,,,,Asistida,Delantera,4.0,258.0,60000.0
Toyota Hiace 2.8 Tdi Wagon 6at 10a,Bs.As. G.B.A. Norte,Toyota,Hiace,2023,2.8 Tdi Wagon 6at 10a,Gris,Diésel,4,Automática,2.8,,600,,,,,Delantera,10.0,177.0,59500.0
Ram 1500 Nigth Edition 2023,Ubicación no encontrada,RAM,1500,2023,Nigth Edition,Blanco,Nafta,4,,,,26000,,,,,,,,65000.0
Jeep Wrangler 3.6 Unlimited 284hp Mtx,Ubicación no encontrada,Jeep,Wrangler,2019,3.6 Unlimited 284hp Mtx,,Nafta,3,Manual,3.6,SUV,51000,,,,Hidráulica,4x4,4.0,284.0,65000.0
Ford F-150 Raptor 3.5l Bi-turbo,Ubicación no encontrada,Ford,,2021,3.5l Bi-turbo,Gris,Nafta,4,Automática,3.5,Pick-Up,90000,,,,Eléctrica,4x4,5.0,456.0,90000.0
Mercedes-benz 1938 Súper Torque,Misiones,,1938,1999,súper torque,,Diésel,2,,,,291000,,,,,,,,43333.33
Mercedes Benz Ml 400 Sport At 2016,Ubicación no encontrada,,ML,2016,Ml 400 Sport At,Gris,Nafta,5,Automática,3.0,SUV,34000,,,,assisted,4x4,5.0,,59000.0
Mercedes-Benz Clase GLC 2.0 Glc300 4matic Coupe At,Bs.As. Costa Atlántica,,Clase GLC,2024,2.0 Glc300 4matic Coupe At,Negro,Nafta,5,Automática,2.0,,11111,,,,Asistida,4x4,5.0,258.0,116666.67
RAM 1500 5.7 Laramie Atx V8,Ubicación no encontrada,RAM,1500,2020,5.7 Laramie Atx V8,Rojo,Nafta,4,Automática,5.7,Pick-Up,20000,,,,Hidráulica,4x4,5.0,395.0,67000.0
Mercedes-Benz Clase A 2.0 A250 Amg-line 224cv Hatch,Capital Federal,,Clase A,2020,2.0 A250 Amg-line 224cv Hatch,,Nafta,5,Automática,2.0,Hatchback,7000,,,,Asistida,Delantera,5.0,224.0,62000.0
Bmw.x3.xdrive.30e.2023,Ubicación no encontrada,BMW,X3,2023,X DRIVE.30E,Azul,Nafta,5,,,SUV,21000,,,,Eléctrica,Integral,,,118000.0
Jeep Gladiator Rubicon 3.6 L At8,Ubicación no encontrada,Jeep,Gladiator,2021,rubicon 3.6L AT8,Gris,Nafta,4,Automática,,Pick-Up,6000,,,,Asistida,4x4,,,99900.0
Mercedes-Benz Clase GLB 2.0 Glb250 Progressive 224cv,Ubicación no encontrada,,Clase GLB,2022,2.0 Glb250 Progressive 224cv,Plateado,Nafta,5,Automática,2.0,SUV,12900,,,,Asistida,4x4,5.0,224.0,84900.0
