Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Único dueño,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Audi Q7 3.0 Tdi 249cv Tiptronic Quattro,Ubicación no encontrada,Audi,Q7,2018,3.0 Tdi 249cv Tiptronic Quattro,Plateado,Diésel,5,Automática,3.0,SUV,100308,,,,Asistida,Integral,5.0,245.0,62000.0
Toyota Hiace 2.8 Tdi Wagon 6at 10a,Ubicación no encontrada,Toyota,Hiace,2022,2.8 Tdi Wagon 6at 10a,Gris,Diésel,4,Automática,2.8,Minivan,34000,,,,,Delantera,10.0,177.0,59900.0
BMW X2 2.0 Sdrive20i Msportx,Ubicación no encontrada,BMW,X2,2022,2.0 Sdrive20i Msportx,Blanco,Nafta,5,Automática,2.0,SUV,28300,,,,Asistida,4x4,5.0,192.0,72000.0
Audi A6 3.0 55 Tfsi Stronic Quattro 340cv,Ubicación no encontrada,Audi,A6,2021,3.0 55 Tfsi Stronic Quattro 340cv,,Nafta,5,Automática,3.0,Sedán,10000,,,,Eléctrica,Integral,4.0,340.0,95000.0
Toyota Hiace 2.8 Tdi Wagon 6at 10a,Ubicación no encontrada,Toyota,Hiace,2023,2.8 Tdi Wagon 6at 10a,Plateado,Diésel,4,Automática,2.8,,9000,,,,,Delantera,10.0,177.0,60000.0
Porsche Boxster 3.4 S 310cv (987),Ubicación no encontrada,Porsche,Boxster,2010,,Negro,Nafta,2,Manual,3.4,Coupé,44000,,,,Asistida,Trasera,2.0,310.0,85000.0
Mercedes-Benz Clase E 3.0 E400 Amg-line 333cv,Ubicación no encontrada,,Clase E,2018,3.0 E400 Amg-line 333cv,Blanco,Nafta,4,Automática,3.0,Coupé,45000,,,,Eléctrica,Delantera,4.0,333.0,90000.0
BMW X6 4.4 M 555cv,Ubicación no encontrada,BMW,X6,2016,4.4 M 555cv,Celeste,Nafta,5,Automática,4.4,SUV,150000,,,,Asistida,Integral,4.0,555.0,70000.0
Peugeot 306 1.9 Xrd,Bs.As. G.B.A. Norte,Peugeot,306,1998,1.9 Xrd,Gris,Diésel,4,Manual,1.9,Sedán,95000,,,,Eléctrica,Delantera,5.0,90.0,36666.67
Toyota Hilux 2.8 Cd Srx 177cv 4x2 At,Ubicación no encontrada,Toyota,Hilux,2023,2.8 Cd Srx 177cv 4x2 At,Gris,Diésel,4,Automática,2.8,Pick-Up,660,,,,Hidráulica,4x2,5.0,177.0,64000.0
BMW Serie M 4.0 M3 Coupe 420cv,Bs.As. G.B.A. Oeste,BMW,Serie M,2010,4.0 M3 Coupe 420cv,Negro,Nafta,2,Automática,4.0,Coupé,59000,,,,Asistida,Trasera,5.0,420.0,119000.0
Mercedes-Benz Clase GLC 3.0 Glc43 Amg 4matic 367cv,Ubicación no encontrada,,Clase GLC,2018,3.0 Glc43 Amg 4matic 367cv,Negro,Nafta,5,Automática,3.0,SUV,42000,,,,Eléctrica,Integral,5.0,367.0,81500.0
Mercedes-benz Gts V8 Biturbo Gtr R8 Ferrari Porsche,Ubicación no encontrada,,GTS,2017,GTS V8 BITURBO,Gris,Nafta,2,Automática secuencial,,Coupé,8500,,,,Asistida,,,,249000.0
Mercedes-Benz A45 AMG 2.0 A45 AMG,Capital Federal,,A45 AMG,2019,2.0 A45 AMG,Gris,Nafta,5,Automática,2.0,Hatchback,15000,,,,Asistida,Delantera,5.0,224.0,81000.0
Jeep Gladiator Rubicon 3.6v6 2021,Bs.As. G.B.A. Oeste,Jeep,Gladiator,2021,Rubicon Gladiator 3.6 V6,Azul,Nafta,4,Automática,3.6,Off-Road,11500,,,,Asistida,,,,110000.0
Ford Ranger 2.2 Cd Xl Tdci 150cv 4x2,San Juan,Ford,Ranger,2018,2.2 Cd Xl Tdci 150cv 4x2,Gris,Diésel,4,Manual,2.2,Pick-Up,30000,,,,Eléctrica,4x2,5.0,150.0,66666.67
Mercedes-Benz Clase C 3.0 C400 Coupe Amg-line 333cv,Ubicación no encontrada,,Clase C,2018,3.0 C400 Coupe Amg-line 333cv,Gris,Nafta,4,Automática,3.0,Sedán,48000,,,,Eléctrica,Delantera,5.0,333.0,63000.0
MINI Cooper S 2.0 F55 Chili 192cv,Capital Federal,MINI,Cooper S,2019,2.0 F55 Chili 192cv,Plateado,Nafta,3,Manual,2.0,Hatchback,30000,,,,Asistida,Delantera,5.0,192.0,70000.0
Mercedes-Benz Clase GLC GLC300 coupe 4matic,Capital Federal,,Clase GLC,2017,GLC300 coupe 4matic,Gris,Nafta,5,Automática,2.0,Coupé,51000,,,,Asistida,Integral,5.0,211.0,70000.0
Porsche 911 Carrera 2 (1995) - Macomeclassic,Ubicación no encontrada,Porsche,911 Carrera 2,1999,,Gris,Nafta,2,Manual,,Cabriolet,87424,,,,,,,,250000.0
Toyota Hilux Sw4 Srx 4x4 Automática,Ubicación no encontrada,Toyota,Hilux SW4,2021,srx 4x4 automática,,Diésel,5,,,,29500,,,,,,,,38666.67
Mercedes-Benz Clase GLC 3.0 Glc43 Amg 4matic 367cv,Ubicación no encontrada,,Clase GLC,2018,3.0 Glc43 Amg 4matic 367cv,,Nafta,5,Automática,3.0,SUV,36000,,,,Eléctrica,Integral,5.0,367.0,110000.0
Jeep Wrangler 3.6 Sport 284hp Atx,Bs.As. G.B.A. Oeste,Jeep,Wrangler,2017,3.6 Sport 284hp Atx,Rojo,Nafta,3,Automática,3.6,Hatchback,36000,,,,,4x4,4.0,284.0,59000.0
Coupé Mercedes Benz Slk 350 Descapotable,Bs.As. G.B.A. Oeste,,SLK,2013,350 ROADSTER,Negro,Nafta,2,,,Cabriolet,49000,,,,,,,,58000.0
Toyota Hilux Pick-Up 2.8 Cd Gr-Sport 204Cv 4X4 At,Ubicación no encontrada,Toyota,,2023,2.8 Cd Gr-Sport 204Cv 4X4 At,,Diésel,4,Automática,2.8,Pick-Up,20000,,,,Hidráulica,4x4,5.0,204.0,43333.33
Mercedes-Benz Clase GLC 2.0 Glc300 4matic Coupe At,Ubicación no encontrada,,Clase GLC,2020,2.0 Glc300 4matic Coupe At,Gris,Nafta,5,Automática,2.0,Coupé,48600,,,,Asistida,4x4,5.0,258.0,110000.0
Ford Ranger Limited+ V6,Córdoba,Ford,Ranger,2024,,,Diésel,4,,,,1245,,,,,,,,44000.0
Mercedes-Benz Clase GLC 2.0 Glc300 4matic Coupe At,Ubicación no encontrada,,Clase GLC,2020,2.0 Glc300 4matic Coupe At,Gris,Nafta,5,Automática,2.0,,48000,,,,,,,,100000.0
Mercedes-Benz Clase GLC 3.0 Glc Coupé 43 4matic 390 Cv,Buenos Aires Interior,,Clase GLC,2023,3.0 Glc Coupé 43 4matic 390 Cv,,Nafta,5,Automática,3.0,Coupé,3000,,,,Eléctrica,4x4,5.0,390.0,178000.0
Iveco Tector Tector 150e,Buenos Aires Interior,Iveco,Tector,2020,tector 150e,,Diésel,2,,,,33000,,,,,,,,51333.33
Mercedes-benz Actros 2041 S Escalable,Buenos Aires Interior,,Actros 2041 S,2011,Escalable,,Diésel,2,Automática,2041.0,Light Truck,999999,,,,Hidráulica,,,,40000.0
Ford Ranger Raptor 3.0L V6 Ecoboost Biturbo Cabina Doble 4X4,Ubicación no encontrada,Ford,Ranger Raptor,2023,3.0L V6 Ecoboost Biturbo Cabina Doble 4X4,Blanco,Diésel,4,Automática,3.0,Pick-Up,9300,,,,Eléctrica,4x4,5.0,213.0,90000.0
Nissan Gt-r Black Edition,Ubicación no encontrada,Nissan,,2015,Black Edition,,Nafta,2,,,,15000,,,,,,,,275000.0
BMW Serie M 3.0 M4 560cv,Ubicación no encontrada,BMW,Serie M,2017,3.0 M4 560cv,Negro,Nafta,2,Automática,3.0,Coupé,18000,,,,Asistida,Trasera,4.0,431.0,145000.0
Glc 300 Coupe,Bs.As. G.B.A. Oeste,,Clase GLC,2019,glc 300 coupe,Gris,Nafta,5,,,SUV,45000,,,,,,,,75000.0
DS DS7 Crossback 2.0 Hdi 180 At So Chic,Ubicación no encontrada,DS,DS7 Crossback,2021,2.0 Hdi 180 At So Chic,Negro,Diésel,5,Automática,2.0,Monovolumen,20796,,,,,Delantera,5.0,180.0,39933.33
Volvo XC90 2.0 T6 R-desing At8 Awd,Ubicación no encontrada,Volvo,XC90,2020,2.0 T6 R-desing At8 Awd,Dorado,Nafta,5,Automática,2.0,SUV,37000,,,,Eléctrica,4x4,7.0,235.0,112000.0
Mercedes-Benz Clase C 2.0 C300 Coupe 258cv Sedan,Ubicación no encontrada,,Clase C,2022,2.0 C300 Coupe 258cv Sedan,Gris,Nafta,4,Automática,2.0,Sedán,15000,,,,Asistida,Delantera,4.0,258.0,79000.0
RAM 1500 5.7 Laramie Atx V8,Ubicación no encontrada,RAM,1500,2023,5.7 Laramie Atx V8,Gris,Nafta,4,Automática,5.7,Pick-Up,7430,,,,Hidráulica,4x4,5.0,395.0,99000.0
Chevrolet Camaro 6.2 Coupe Ss V8,Tierra del Fuego,Chevrolet,Camaro,2018,6.2 Coupe Ss V8,Azul,Nafta,2,Manual,6.2,Coupé,11350,,,,Asistida,Trasera,2.0,405.0,80000.0
Audi R8 Coupé 4.2 Fsi 430cv Quattro,Ubicación no encontrada,Audi,,2008,4.2 Fsi 430cv Quattro,Negro,Nafta,2,Automática,4.2,Coupé,51215,,,,assisted,Integral,2.0,,175000.0
Mercedes-Benz Clase GLB 2.0 Glb250 Progressive 224cv,Ubicación no encontrada,,Clase GLB,2023,2.0 Glb250 Progressive 224cv,Plateado,Nafta,5,Automática,2.0,SUV,10180,,,,Asistida,4x4,5.0,224.0,89000.0
Porsche Boxster 2.7 245cv (987),Ubicación no encontrada,Porsche,Boxster,2007,,,Nafta,2,Manual,2.7,Coupé,65000,,,,Hidráulica,Trasera,2.0,245.0,66000.0
Ford Mustang 5.0 Gt 421cv,Córdoba,Ford,Mustang,2017,5.0 Gt 421cv,Negro,Nafta,2,Manual,5.0,Coupé,90000,,,,Hidráulica,Trasera,2.0,421.0,70000.0
Jaguar F-PACE 3.0 Sc Prestige,Capital Federal,Jaguar,,2018,3.0 Sc Prestige,Verde,Nafta,5,Automática,3.0,SUV,60000,,,,Eléctrica,4x4,5.0,380.0,75000.0
Audi A8 4.0 Fsi 420cv Tiptronic Quattro,Ubicación no encontrada,Audi,A8,2013,4.0 Fsi 420cv Tiptronic Quattro,Negro,Nafta,4,Automática,4.0,Sedán,34800,,,,Asistida,Integral,5.0,420.0,70000.0
Chevrolet Camaro 6.2 Coupe Ss V8,Ubicación no encontrada,Chevrolet,Camaro,2019,6.2 Coupe Ss V8,Rojo,Nafta,2,Manual,6.2,Coupé,7200,,,,Asistida,Trasera,2.0,405.0,95000.0
Bmw 330i Luxury Sport At 330i,Entre Ríos,BMW,330i LUXURY SPORT AT,2021,330i,,Nafta,4,,,,23700,,,,,,,,65000.0
BMW X3 2.0 Xdrive 30i Xline,Ubicación no encontrada,BMW,X3,2020,2.0 Xdrive 30i Xline,Blanco,Nafta,5,Automática,2.0,SUV,11800,,,,Eléctrica,4x4,5.0,252.0,82000.0
Ford F-150 Raptor 3.5l Bi-turbo,Santiago del Estero,Ford,,2023,3.5l Bi-turbo,Blanco,Nafta,4,Automática,3.5,Pick-Up,42057,,,,Eléctrica,4x4,5.0,456.0,106000.0
BMW X6 3.0 Xdrive 35i Pure Extravagance,Ubicación no encontrada,BMW,X6,2017,3.0 Xdrive 35i Pure Extravagance,Negro,Nafta,5,Automática,3.0,SUV,61000,,,,Asistida,4x4,4.0,306.0,74000.0
BMW Serie M 4.4 M5 Sedan 560cv,Ubicación no encontrada,BMW,Serie M,2014,4.4 M5 Sedan 560cv,Negro,Nafta,4,Automática,4.4,Sedán,90000,,,,Asistida,Trasera,5.0,560.0,65000.0
BMW X4 3.0 Xdrive 35i 306cv M Package,Capital Federal,BMW,X4,2020,3.0 Xdrive 35i 306cv M Package,Blanco,Nafta,5,Automática,3.0,SUV,13500,,,,Asistida,4x4,5.0,306.0,80000.0
BMW Serie 3 2.0 320i Sedan Sportline,San Luis,BMW,Serie 3,2020,2.0 320i Sedan Sportline,Blanco,Nafta,4,Manual,2.0,Sedán,26000,,,,Asistida,Trasera,5.0,184.0,62000.0
Hummer H3 H3,Ubicación no encontrada,Hummer,H3,2008,H3,,Nafta,5,,,,115000,,,,,,,,69999.0
Hummer H2 H2,Ubicación no encontrada,Hummer,H2,2007,H2,,Nafta,4,Automática,,Off-Road,60000,,,,Asistida,,,,132000.0
BMW X6 4.4 Xdrive 50i M Package 449cv,Ubicación no encontrada,BMW,X6,2017,4.4 Xdrive 50i M Package 449cv,Blanco,Nafta,5,Automática,4.4,SUV,50000,,,,Asistida,4x4,5.0,407.0,98000.0
Audi R8 Coupé 4.2 Quattro,Ubicación no encontrada,Audi,,2012,4.2 Quattro,Gris oscuro,Nafta,2,Automática,4.2,,29000,,,,,,,,215000.0
Ford F-150 Raptor 3.5l Bi-turbo,Bs.As. G.B.A. Norte,Ford,,2023,3.5l Bi-turbo,,Nafta,4,Automática,3.5,Pick-Up,10000,,,,Eléctrica,4x4,5.0,456.0,123500.0
Porsche 911 3.8 Carrera S Coupe 385cv (997),Ubicación no encontrada,Porsche,911,2010,,Gris,Nafta,2,Manual,3.8,Coupé,34000,,,,Asistida,Trasera,2.0,385.0,145000.0
Mercedes-Benz Clase GLC 2.0 Glc250 300 4matic Atomático,Ubicación no encontrada,,Clase GLC,2017,2.0 Glc250 300 4matic Atomático,Gris,Nafta,5,Automática,2.0,SUV,80000,,,,Asistida,4x4,5.0,211.0,65000.0
Toyota SW4 2.8 Tdi Gr-s 4x4 7as 6at,Ubicación no encontrada,Toyota,SW4,2023,2.8 Tdi Gr-s 4x4 7as 6at,Negro,Diésel,5,Automática,2.8,SUV,1500,,,,Hidráulica,4x4,7.0,177.0,102000.0
BMW Serie 3 3.0 330i Sedan Sport Line 252cv,Ubicación no encontrada,BMW,Serie 3,2021,3.0 330i Sedan Sport Line 252cv,Blanco,Nafta,4,Manual,3.0,Sedán,16000,,,,Asistida,Trasera,5.0,184.0,59900.0
Ford F-150 F-150,Ubicación no encontrada,Ford,,2022,F-150,Rojo,Híbrido/Nafta,4,Automática,2.0,Pick-Up,58000,,,,Eléctrica,4x4,5.0,200.0,86000.0
Mercedes-Benz Clase SLK 2.0 Slk200 Kompressor Sport Mt,Ubicación no encontrada,,Clase SLK,2011,2.0 Slk200 Kompressor Sport Mt,Negro,Nafta,2,Manual,2.0,Cabriolet,40000,,,,Asistida,Trasera,2.0,184.0,59000.0
Mini Mini Cooper Gp Gp,Ubicación no encontrada,MINI,MINI COOPER GP,2021,Gp,Gris,Nafta,3,,,,6500,,,,,,,,119900.0
Porsche Macan 3.6 Turbo 400cv,Capital Federal,Porsche,Macan,2017,3.6 Turbo 400cv,Negro,Nafta,2,Manual,3.6,SUV,59000,,,,Hidráulica,4x4,5.0,400.0,150000.0
Ford Bronco Bronco 2.0T Sport Wildtrack Ecoboost,Ubicación no encontrada,Ford,Bronco,2024,Bronco 2.0T Sport Wildtrack Ecoboost,Blanco,Nafta,5,Automática,2.0,SUV,1000,,,,hydraulic,4x4,3.0,334.0,40000.0
Mercedes-Benz Clase SL 3.2 Sl320 Roadster,Ubicación no encontrada,,Clase SL,1995,3.2 Sl320 Roadster,Gris,Nafta,2,Manual,3.2,Coupé,45000,,,,Hidráulica,Trasera,2.0,224.0,65000.0
Bmw X4 Xdrive 35i 306cv M Package Wf,Ubicación no encontrada,BMW,X4,2017,3.0 Xdrive 35i 306cv M Package,Negro,Nafta,5,Automática,3.0,SUV,64015,,,,Asistida,4x4,5.0,306.0,65000.0
Audi Q7 3.0 Tfsi 333cv Tiptronic Quattro,Bs.As. G.B.A. Norte,Audi,Q7,2018,3.0 Tfsi 333cv Tiptronic Quattro,Negro,Nafta,5,Automática,3.0,SUV,93000,,,,Asistida,Integral,5.0,333.0,78000.0
Ford Mustang 5.0 Gt 421cv,Ubicación no encontrada,Ford,Mustang,2017,5.0 Gt 421cv,Azul,Nafta,2,Manual,5.0,Coupé,10000,,,,Hidráulica,Trasera,2.0,421.0,86000.0
Ford F-150 F-150 Raptor,Ubicación no encontrada,Ford,,2021,F-150 Raptor,blue,Nafta,4,Automática,6.0,Pick-Up,94706,,,,electronic,4x4,5.0,200.0,89900.0
Dodge Ram 1500 5.7 V8 Laramie 4x4,Bs.As. G.B.A. Sur,Dodge,Ram,2022,,Blanco,Nafta,4,Automática,5.7,Pick-Up,6500,,,,,,,,65000.0
Mercedes-Benz Clase GLC 2.0 Glc300 4matic Coupe At,Ubicación no encontrada,,Clase GLC,2020,2.0 Glc300 4matic Coupe At,Azul,Nafta,5,Automática,2.0,Coupé,70024,,,,Asistida,4x4,5.0,258.0,85000.0
Audi R8 Coupé 4.2 Fsi 420cv Quattro,Ubicación no encontrada,Audi,,2011,4.2 Fsi 420cv Quattro,Blanco,Nafta,2,Manual,4.2,Coupé,26000,,,,Asistida,Integral,2.0,420.0,259000.0
Dodge Ram 1500 2023 + Accesorios Varios,Santa Fe,Dodge,Ram,2023,4x4,Gris,Nafta,4,Automática,,Pick-Up,25000,,,,Hidráulica,,,,68000.0
Ford F-150 5.0l V8 Lariat Luxury,Ubicación no encontrada,Ford,,2020,5.0l V8 Lariat Luxury,Blanco,Nafta,4,Automática,5.0,Pick-Up,4294,,,,electronic,4x4,5.0,400.0,83900.0
Mercedes-Benz Clase GLC 2.0 Glc250 300 4matic Atomático,Ubicación no encontrada,,Clase GLC,2017,2.0 Glc250 300 4matic Atomático,Gris,Nafta,5,Automática,2.0,SUV,41700,,,,Asistida,4x4,5.0,211.0,64000.0
BMW Serie 1 2.0 M140 Package,Capital Federal,BMW,Serie 1,2018,2.0 M140 Package,Gris,Nafta,5,Automática,3.0,Hatchback,72000,,,,Eléctrica,Trasera,5.0,3.0,58000.0
RAM 1500 5.7 Laramie Nigth Edition,Bs.As. G.B.A. Norte,RAM,1500,2024,5.7 Laramie Nigth Edition,,Nafta,4,Automática,5.7,Pick-Up,6500,,,,,4x4,5.0,395.0,61000.0
Jeep Wrangler 3.6 Unlimited 284hp Atx,Ubicación no encontrada,Jeep,Wrangler,2013,3.6 Unlimited 284hp Atx,,Nafta,3,Automática,3.6,SUV,70000,,,,Hidráulica,4x4,4.0,202.0,70000.0
BMW Z4 2.0 Sdrive20i 184cv,Córdoba,BMW,Z4,2013,2.0 Sdrive20i 184cv,,Nafta,2,Manual,2.0,Roadster,37300,,,,Eléctrica,4x2,2.0,184.0,59500.0
Audi Q5 2.0 45 Tfsi Offroad 252cv,Ubicación no encontrada,Audi,Q5,2020,2.0 45 Tfsi Offroad 252cv,,Nafta,5,Automática,2.0,SUV,82000,,,,Eléctrica,4x4,5.0,252.0,85000.0
Mercedes-Benz Clase GLC 2.0 Glc300 4matic Coupe At,Ubicación no encontrada,,Clase GLC,2018,2.0 Glc300 4matic Coupe At,Blanco,Nafta,5,Automática,2.0,SUV,57700,,,,Asistida,4x4,5.0,211.0,75000.0
Toyota SW4 2.8 Srx 204Cv 4X4 7As At,Chaco,Toyota,SW4,2023,2.8 Srx 204Cv 4X4 7As At,,Diésel,5,Automática,2.8,SUV,9500,,,,,4x4,7.0,204.0,39333.33
Hummer H2,Ubicación no encontrada,Hummer,H2,2003,H2,Negro,Nafta,4,Automática,,Off-Road,152000,,,,Hidráulica,,,,145000.0
Audi A6 3.0 55 Tfsi Stronic Quattro 340cv,Ubicación no encontrada,Audi,A6,2020,3.0 55 Tfsi Stronic Quattro 340cv,Plateado,Nafta,5,Automática,3.0,Sedán,17000,,,,Eléctrica,Integral,4.0,340.0,95000.0
Mercedes-Benz Clase GLA 1.6 Gla200 Urban 156cv,Ubicación no encontrada,,Clase GLA,2020,1.6 Gla200 Urban 156cv,,Nafta,5,Automática,1.6,SUV,55000,,,,Asistida,Delantera,5.0,156.0,59900.0
Mercedes-Benz Clase C 2.0 C300 Coupe 258cv Sedan,Ubicación no encontrada,,Clase C,2020,2.0 C300 Coupe 258cv Sedan,Blanco,Nafta,4,Automática,2.0,Sedán,43900,,,,Asistida,Delantera,4.0,258.0,59000.0
Ford Ranger Limited Plus V6,Ubicación no encontrada,Ford,Ranger,2024,Limited Plus V6,Plateado,Diésel,4,Automática,,Pick-Up,1500,,,,,,,,59000.0
Ds Ds7 Crossback Bastille 215cv,Ubicación no encontrada,DS,DS7 Crossback,2023,BASTILLE 215CV,,Nafta,5,,,,13000,,,,,,,,43333.33
Toyota RAV4 2.5 4x4 Vx 6at,Ubicación no encontrada,Toyota,RAV4,2022,2.5 4x4 Vx 6at,Gris,Híbrido/Nafta,5,Automática,2.5,SUV,8000,,,,electronic,,5.0,,67900.0
BMW Serie M 3.0 M2,Ubicación no encontrada,BMW,Serie M,2018,3.0 M2,Azul,Nafta,4,Automática,3.0,Coupé,31000,,,,Asistida,Trasera,4.0,370.0,110000.0
Toyota SW4 2.8 SRX AT 4x4,Ubicación no encontrada,Toyota,SW4,2022,2.8 SRX AT 4x4,Blanco,Diésel,5,Automático,1.0,SUV,9656,,,,Asistida,4x4,7.0,177.0,36606.67
BMW X5 3.0 Xdrive 40d M Package 313cv,Bs.As. G.B.A. Norte,BMW,X5,2016,3.0 Xdrive 40d M Package 313cv,Blanco,Diésel,5,Automática,3.0,SUV,55000,,,,Asistida,4x4,5.0,313.0,80000.0
Mercedes-Benz Clase GLC 2.0 Glc250 300 4matic Atomático,Bs.As. G.B.A. Norte,,Clase GLC,2017,2.0 Glc250 300 4matic Atomático,Negro,Nafta,5,Automática,2.0,SUV,60000,,,,Asistida,4x4,5.0,211.0,72000.0
BMW X6 3.0 Xdrive 35i Pure Extravagance,Ubicación no encontrada,BMW,X6,2017,3.0 Xdrive 35i Pure Extravagance,Gris,Nafta,5,Automática,3.0,SUV,165000,,,,Asistida,4x4,4.0,306.0,59900.0
Ram 1500 Slt Night Edition Laramie 5.7 At8 4x4 2023,Ubicación no encontrada,RAM,1500,2023,SLT NIGHT EDITION,Gris,Nafta,4,Automática,,Pick-Up,9700,,,,Hidráulica,,,,65000.0
Dodge Ram 1500 Night Edition,Capital Federal,Dodge,Ram,2024,1500 night edition,,Nafta,5,,,,1000,,,,,,,,59000.0
BMW X6 3.0 Xdrive 35i Pure Extravagance,Ubicación no encontrada,BMW,X6,2017,3.0 Xdrive 35i Pure Extravagance,,Nafta,5,Automática,3.0,SUV,64418,,,,assisted,4x4,4.0,306.0,82900.0
Mercedes-Benz Clase GLE 3.0 Gle400 Sport Coupe 4matic 333cv,Ubicación no encontrada,,Clase GLE,2019,3.0 Gle400 Sport Coupe 4matic 333cv,,Nafta,5,Automática,3.0,SUV,61000,,,,Eléctrica,Integral,5.0,333.0,119000.0
Volvo XC40 2.0t T5 R-design Awd,Ubicación no encontrada,Volvo,XC40,2022,2.0t T5 R-design Awd,Blanco,Nafta,5,Automática,2.0,SUV,3400,,,,Eléctrica,4x4,5.0,247.0,76000.0
BMW Serie 1 2.0 Xdrive M135 Performance,Ubicación no encontrada,BMW,Serie 1,2023,2.0 Xdrive M135 Performance,Gris,Nafta,5,Automática,2.0,Hatchback,5000,,,,,,,306.0,89990.0
RAM 1500 5.7 LARAMIE atx 8,Salta,RAM,1500,2022,5.7 LARAMIE atx 8,,Nafta,4,Automática,5.7,Pick-Up,8500,,,,Hidráulica,4x4,5.0,395.0,65000.0
Chevrolet Trailblazer 2.8 Nueva Ltz Tdci 200cv,Ubicación no encontrada,Chevrolet,Trailblazer,2024,2.8 Nueva Ltz Tdci 200cv,Gris,Diésel,5,Automática,2.8,SUV,1100,,,,Asistida,4x4,5.0,200.0,35916.67
RAM 1500 5.7 Laramie Atx V8,Buenos Aires Interior,RAM,1500,2023,5.7 Laramie Atx V8,Negro,Nafta,4,Automática,5.7,Pick-Up,20000,,,,Hidráulica,4x4,5.0,395.0,67000.0
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Capital Federal,Toyota,Hilux,2022,2.8 Cd Srx 177cv 4x4 At,,Diésel,4,Automática,2.8,Pick-Up,35000,,,,Hidráulica,4x4,5.0,177.0,75000.0
Mercedes-Benz Clase C 2.0 C300 Coupe 258cv Sedan,Ubicación no encontrada,,Clase C,2020,2.0 C300 Coupe 258cv Sedan,Blanco,Nafta,4,Automática,2.0,Sedán,27000,,,,Asistida,Delantera,4.0,258.0,65000.0
RAM 2500 6.7 Laramie I Atx 350cv 4x4,Bs.As. G.B.A. Sur,RAM,2500,2018,6.7 Laramie I Atx 350cv 4x4,,Diésel,4,Automática,6.7,Pick-Up,35000,,,,Hidráulica,4x4,5.0,350.0,68000.0
Ford F-150 5.0l V8 Lariat Luxury,Ubicación no encontrada,Ford,,2021,5.0l V8 Lariat Luxury,blue,Nafta,4,Automática,5.0,Pick-Up,20203,,,,electronic,4x4,5.0,400.0,86900.0
Audi SQ5 3.0 Tfsi Stronic 354cv,Mendoza,Audi,SQ5,2018,3.0 Tfsi Stronic 354cv,,Nafta,5,Automática,3.0,SUV,43000,,,,Eléctrica,4x4,5.0,354.0,78000.0
Ford Shelby Cobra Aff V8 302,Ubicación no encontrada,Ford,Cobra,2002,Shelby,Gris,Nafta,2,Manual,4.9,Roadster,1300,,,,,,,,65900.0
Volvo XC90 2.0 T6 High Luxury At8 Awd,Ubicación no encontrada,Volvo,XC90,2016,2.0 T6 High Luxury At8 Awd,Blanco,Nafta,5,Automática,2.0,SUV,79000,,,,Eléctrica,4x4,7.0,235.0,69900.0
Mercedes-benz Clase E E 53 Amg,Ubicación no encontrada,,Clase E,2023,E 53 AMG,Blanco,Híbrido/Nafta,2,,,Coupé,4900,,,,Hidráulica,,,,179000.0
Bmw M340i Xdrive,Ubicación no encontrada,BMW,Serie 3,2022,Xdrive M Performance,Negro,Nafta,5,Automática,3.0,Sedán,17000,,,,Eléctrica,,,,97900.0
Ford F-150 Raptor 3.5l Bi-turbo,Ubicación no encontrada,Ford,,2020,3.5l Bi-turbo,Azul,Nafta,4,Automática,3.5,Pick-Up,81309,,,,Eléctrica,4x4,5.0,456.0,85000.0
RAM 1500 5.7 Laramie Atx V8,Ubicación no encontrada,RAM,1500,2022,5.7 Laramie Atx V8,Verde,Nafta,4,Automática,5.7,,40000,,,,,,,,60000.0
BMW Serie M 3.0 M3 431cv,Córdoba,BMW,Serie M,2023,3.0 M3 431cv,Blanco,Nafta,4,Automática,3.0,Sedán,15000,,,,Asistida,Trasera,4.0,431.0,83000.0
Mercedes-Benz Clase A 2.0 A250 Amg-line 211cv,Buenos Aires Interior,,Clase A,2021,2.0 A250 Amg-line 211cv,,Nafta,5,Automática,2.0,Hatchback,53000,,,,Asistida,Delantera,5.0,224.0,60000.0
Ford F-150 Raptor 3.5l Bi-turbo,Ubicación no encontrada,Ford,,2020,3.5l Bi-turbo,Azul,Nafta,4,Automática,3.5,Pick-Up,50000,,,,Eléctrica,4x4,5.0,456.0,83000.0
Lexus Rcf Track Edition,Ubicación no encontrada,Lexus,RCF,2023,Track Edition,,Nafta,2,Automática,,Coupé,800,,,,Asistida,,,,188000.0
Porsche 911 3.0 Carrera 4s 420cv,Ubicación no encontrada,Porsche,911,2017,3.0 Carrera 4s 420cv,,Nafta,3,Automática,3.0,Hatchback,12500,,,,Eléctrica,Integral,2.0,420.0,310000.0
BMW Serie 2 2.0 M240I Mpackage Lci,Bs.As. Costa Atlántica,BMW,Serie 2,2021,2.0 M240I Mpackage Lci,Azul,Nafta,2,Automática,2.0,Coupé,10500,,,,Asistida,Trasera,4.0,340.0,72500.0
