Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Chevrolet S10 2.8 Ls Cd Tdci 200cv 4x2,La Pampa,2.8 Ls Cd Tdci 200cv 4x2,,Chevrolet,S10,2020,Diésel,4.0,Manual,2.8,Pick-Up,21300.0,Asistida,4x2,5.0,200.0,18666.67
Chevrolet S10 2.8 G4 Cd 4x2 Electronico,Buenos Aires Interior,2.8 G4 Cd 4x2 Electronico,,Chevrolet,S10,2012,Diésel,4.0,Manual,2.8,Pick-Up,95000.0,Hidráulica,4x2,4.0,140.0,13500.0
Chevrolet S10 2.8 Ls Cs Tdci 200cv 4x2,Buenos Aires Interior,2.8 Ls Cs Tdci 200cv 4x2,Gris,Chevrolet,S10,2019,Diésel,4.0,Manual,2.8,Pick-Up,110000.0,Asistida,4x2,2.0,200.0,14000.0
Chevrolet S10 2.8 Lt Cd Tdci 200cv 4x4,Ubicación no encontrada,2.8 Lt Cd Tdci 200cv 4x4,Blanco,Chevrolet,S10,2020,Diésel,4.0,Manual,2.8,Pick-Up,95000.0,Asistida,4x4,5.0,200.0,21333.33
Chevrolet S10 2.8 Cd 4x4 Ltz Tdci 200cv At,Salta,2.8 Cd 4x4 Ltz Tdci 200cv At,Blanco,Chevrolet,S10,2018,Diésel,4.0,Automática,2.8,Pick-Up,160000.0,Asistida,4x4,5.0,200.0,17333.33
Chevrolet S10 2.8 Lt Cd Tdci 200cv,Santa Fe,2.8 Lt Cd Tdci 200cv,Azul,Chevrolet,S10,2017,Diésel,4.0,Manual,2.8,Pick-Up,90000.0,Asistida,4x2,5.0,200.0,14333.33
Chevrolet S10 2.8 High Country Cd Tdci 200cv,Bs.As. G.B.A. Norte,2.8 High Country Cd Tdci 200cv,Plateado,Chevrolet,S10,2017,Diésel,4.0,Manual,2.8,Pick-Up,100000.0,Asistida,4x2,5.0,200.0,24500.0
Chevrolet S10 2.8 Ls Cd Tdci 200cv,Buenos Aires Interior,2.8 Ls Cd Tdci 200cv,Blanco,Chevrolet,S10,2017,Diésel,4.0,Manual,2.8,Pick-Up,101000.0,Hidráulica,4x2,5.0,200.0,22000.0
Chevrolet S10 2.8 Ls Cd Tdci 200cv 4x2,Ubicación no encontrada,2.8 Ls Cd Tdci 200cv 4x2,Gris,Chevrolet,S10,2022,Diésel,4.0,Manual,2.8,Pick-Up,5000.0,Hidráulica,4x2,5.0,200.0,17933.33
Chevrolet S10 2.8 Ls Cd Tdci 200cv,Entre Ríos,2.8 Ls Cd Tdci 200cv,,Chevrolet,S10,2017,Diésel,4.0,Manual,2.8,Pick-Up,148000.0,Hidráulica,4x2,5.0,200.0,19500.0
